127.0.0.1 - - [19/Feb/2021:17:34:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:06 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:06 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:08 +0900] "GET /board/add.action?fk_seq=413&groupno=197&depthno=2 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:31 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:31 +0900] "GET /board/list.action;jsessionid=F042721D1CCF12BBAB33F136B78D6666 HTTP/1.1" 200 23432
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:33 +0900] "GET /board/view.action?seq=414&gobackURL=list.action%3Bjsessionid%3DF042721D1CCF12BBAB33F136B78D6666 HTTP/1.1" 200 20202
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:33 +0900] "GET /board/commentList.action?parentSeq=414&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:33 +0900] "GET /board/getCommentTotalPage.action?parentSeq=414&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:35 +0900] "GET /board/add.action?fk_seq=414&groupno=197&depthno=3 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:50 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:50 +0900] "GET /board/list.action;jsessionid=FF42E0DCACAE0A539825E435A36DBB7A HTTP/1.1" 200 23404
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:59 +0900] "GET /board/view.action?seq=415&gobackURL=list.action%3Bjsessionid%3DFF42E0DCACAE0A539825E435A36DBB7A HTTP/1.1" 200 26159
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:59 +0900] "GET /board/commentList.action?parentSeq=415&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:45:59 +0900] "GET /board/getCommentTotalPage.action?parentSeq=415&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:01 +0900] "GET /board/add.action?fk_seq=415&groupno=197&depthno=4 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:10 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:10 +0900] "GET /board/list.action;jsessionid=0A24F6D35D53512CCBF7184EB70376CD HTTP/1.1" 200 23342
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:12 +0900] "GET /board/view.action?seq=416&gobackURL=list.action%3Bjsessionid%3D0A24F6D35D53512CCBF7184EB70376CD HTTP/1.1" 200 14607
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:12 +0900] "GET /board/commentList.action?parentSeq=416&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:12 +0900] "GET /board/getCommentTotalPage.action?parentSeq=416&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:14 +0900] "GET /board/add.action?fk_seq=416&groupno=197&depthno=5 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:30 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:30 +0900] "GET /board/list.action;jsessionid=3296836A40DC3C993B118EDF0182C8DD HTTP/1.1" 200 23283
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:32 +0900] "GET /board/view.action?seq=417&gobackURL=list.action%3Bjsessionid%3D3296836A40DC3C993B118EDF0182C8DD HTTP/1.1" 200 19070
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:32 +0900] "GET /board/commentList.action?parentSeq=417&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:32 +0900] "GET /board/getCommentTotalPage.action?parentSeq=417&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:40 +0900] "GET /board/add.action?fk_seq=417&groupno=197&depthno=6 HTTP/1.1" 200 13665
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:54 +0900] "POST /board/addEnd.action HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:54 +0900] "GET /board/list.action;jsessionid=ACD2E6E15362847D371A02EBC1EDE56B HTTP/1.1" 200 23229
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:46:59 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=2 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:47:01 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=1 HTTP/1.1" 200 23236
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:47:19 +0900] "GET /board/view.action?seq=415&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 26410
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:47:19 +0900] "GET /board/commentList.action?parentSeq=415&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:47:19 +0900] "GET /board/getCommentTotalPage.action?parentSeq=415&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:44 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=1 HTTP/1.1" 200 23236
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:45 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=1 HTTP/1.1" 200 23236
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:46 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 28568
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:46 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:46 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:48 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 28568
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:48 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:48 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 28568
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 28568
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:50:50 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:29 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:29 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:29 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:31 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29218
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:51:32 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:13 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29213
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:13 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:13 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29213
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/view.action?seq=413&gobackURL=list.action%3FsearchType%3Dsubject%26searchWord%3D%26currentShowPageNo%3D1 HTTP/1.1" 200 29213
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/commentList.action?parentSeq=413&currentShowPageNo=1 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:14 +0900] "GET /board/getCommentTotalPage.action?parentSeq=413&sizePerPage=5 HTTP/1.1" 200 15
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:24 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=2 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:25 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=3 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:27 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=4 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:28 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=5 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:31 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=6 HTTP/1.1" 200 23537
0:0:0:0:0:0:0:1 - - [19/Feb/2021:17:52:33 +0900] "GET /board/list.action?searchType=subject&searchWord=&currentShowPageNo=7 HTTP/1.1" 200 23537
